device_id,feature_name,status,description,source_file
nrr_cor_c_sw001,bash-shell,enabled,Enable bash shell access,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,scp-server,enabled,Enable SCP server,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,sftp-server,enabled,Enable SFTP server,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,tacacs+,enabled,Enable TACACS+ authentication,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,ospf,enabled,Enable OSPF routing protocol,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,pim,enabled,Enable PIM multicast protocol,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,udld,enabled,Enable UniDirectional Link Detection,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,interface-vlan,enabled,Enable VLAN interfaces,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,hsrp,enabled,Enable Hot Standby Router Protocol,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,lacp,enabled,Enable Link Aggregation Control Protocol,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,vpc,enabled,Enable Virtual Port Channel,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,lldp,enabled,Enable Link Layer Discovery Protocol,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,vtp,enabled,Enable VLAN Trunking Protocol,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log 
