device_id,acl_name,seq_number,action,source_ip,source_mask,destination_ip,destination_mask,protocol,port,log,description,acl_type,direction,source_file
nrr_cor_c_sw002,NEW_MGMT_ACL,10,permit,10.8.10.8,255.255.255.255,any,,,tcp,22,,Management ACL,ipv4,ingress,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,NEW_MGMT_ACL,20,permit,192.168.100.6,255.255.255.255,any,,,tcp,22,,Management ACL,ipv4,ingress,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,NEW_MGMT_ACL,1000,deny,any,,,any,,,tcp,22,,Management ACL,ipv4,ingress,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_wan_br_r001,NEW_MGMT_ACL,10,permit,10.8.10.8,255.255.255.255,any,,,any,,,Management ACL,standard,ingress,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,NEW_MGMT_ACL,20,permit,192.168.100.6,255.255.255.255,any,,,any,,,Management ACL,standard,ingress,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,NEW_MGMT_ACL,30,permit,192.168.100.26,255.255.255.255,any,,,any,,,Management ACL,standard,ingress,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,NEW_MGMT_ACL,40,permit,192.100.4.186,255.255.255.255,any,,,any,,,Management ACL,standard,ingress,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,NEW_MGMT_ACL,50,permit,192.168.120.14,255.255.255.255,any,,,any,,,Management ACL,standard,ingress,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,NEW_MGMT_ACL,180,permit,10.110.65.192,255.255.255.224,any,,,any,,,Management ACL,standard,ingress,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,NEW_MGMT_ACL,190,permit,10.99.28.0,255.255.255.0,any,,,any,,,Management ACL,standard,ingress,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
