device_id,dns_server,domain_name,dns_type,vrf,lookup_enabled,description,source_file
nrr_wan_br_r002,10.0.10.10,alrajhibank.com.sa,primary,,yes,Primary DNS server,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,10.0.10.20,alrajhibank.com.sa,secondary,,yes,Secondary DNS server,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,10.11.11.10,alrajhibank.com.sa,tertiary,,yes,Tertiary DNS server,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,10.11.11.11,alrajhibank.com.sa,quaternary,,yes,Quaternary DNS server,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r001,10.0.10.10,alrajhibank.com.sa,primary,,yes,Primary DNS server,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,10.0.10.20,alrajhibank.com.sa,secondary,,yes,Secondary DNS server,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,10.11.11.10,alrajhibank.com.sa,tertiary,,yes,Tertiary DNS server,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,10.11.11.11,alrajhibank.com.sa,quaternary,,yes,Quaternary DNS server,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_int_intbr_r002,10.0.10.10,alrajhi.bank,primary,,yes,Primary DNS server,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r002,10.0.10.20,alrajhi.bank,secondary,,yes,Secondary DNS server,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r002,10.11.11.10,alrajhi.bank,tertiary,,yes,Tertiary DNS server,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r002,10.11.11.11,alrajhi.bank,quaternary,,yes,Quaternary DNS server,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r001,10.0.10.10,alrajhi.bank,primary,,yes,Primary DNS server,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_int_intbr_r001,10.0.10.20,alrajhi.bank,secondary,,yes,Secondary DNS server,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_int_intbr_r001,10.11.11.10,alrajhi.bank,tertiary,,yes,Tertiary DNS server,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_int_intbr_r001,10.11.11.11,alrajhi.bank,quaternary,,yes,Quaternary DNS server,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
