device_id,lb_method,pool_name,member_servers,health_check,algorithm,persistence,source_file
nrr_wan_br_r002,per-destination,bgp_load_balance,10.99.3.85;10.99.3.93,bgp_keepalive,equal-cost,none,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r001,per-destination,bgp_load_balance,10.99.3.82;10.99.3.86,bgp_keepalive,equal-cost,none,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_int_intbr_r002,per-destination,internal_routing,10.99.100.1;10.99.200.1,hsrp_hello,equal-cost,none,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r001,per-destination,internal_routing,10.99.100.1;10.99.200.1,hsrp_hello,equal-cost,none,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_ext_extbr_r002,per-destination,external_routing,10.99.300.1;10.99.400.1,vrrp_advertisement,equal-cost,none,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r001,per-destination,external_routing,10.99.300.1;10.99.400.1,vrrp_advertisement,equal-cost,none,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_cor_c_sw002,per-destination,core_switching,10.99.18.1;10.99.10.1,hsrp_hello,equal-cost,none,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_ext_sama_fw001,round-robin,sama_firewall_pool,10.99.20.1;10.99.21.1,tcp_connect,round-robin,source_ip,configs/NRR-EXT-SAMA-FW001_7-0_9221_202505151426.conf
nrr_ext_sama_fw001,weighted,sama_ssl_vpn_pool,192.168.1.100-192.168.1.150,ssl_handshake,weighted_round_robin,ssl_session,configs/NRR-EXT-SAMA-FW001_7-0_9221_202505151426.conf
nrr_ext_tad_fw001,round-robin,tad_firewall_pool,10.99.22.1;10.99.23.1,tcp_connect,round-robin,source_ip,configs/NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
nrr_ext_tad_fw001,weighted,tad_ssl_vpn_pool,192.168.2.100-192.168.2.150,ssl_handshake,weighted_round_robin,ssl_session,configs/NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
nrr_ext_ext_fw001,round-robin,ext_firewall_pool,10.99.24.1;10.99.25.1,tcp_connect,round-robin,source_ip,configs/NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
nrr_ext_ext_fw001,weighted,ext_ssl_vpn_pool,192.168.3.100-192.168.3.150,ssl_handshake,weighted_round_robin,ssl_session,configs/NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
