device_id,protocol,rp_address,group_range,interface,mode,ssm_range,anycast_rp,pim_enabled,source_file
nrr_wan_br_r002,pim,10.99.1.100,239.0.0.0/8,Loopback0,sparse-mode,232.0.0.0/8,10.99.1.1;10.99.1.4,enabled,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,igmp,,,TenGigabitEthernet0/0/0,query,,,enabled,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,igmp,,,TenGigabitEthernet0/0/1,query,,,enabled,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,igmp,,,FortyGigabitEthernet1/0/0,query,,,enabled,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,igmp,,,FortyGigabitEthernet1/0/1,query,,,enabled,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r001,pim,10.99.1.100,239.0.0.0/8,Loopback0,sparse-mode,232.0.0.0/8,10.99.1.1;10.99.1.4,enabled,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,igmp,,,TenGigabitEthernet0/0/0,query,,,enabled,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,igmp,,,TenGigabitEthernet0/0/1,query,,,enabled,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,igmp,,,FortyGigabitEthernet1/0/0,query,,,enabled,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_int_intbr_r002,pim,10.99.1.100,239.0.0.0/8,Loopback0,sparse-mode,232.0.0.0/8,10.99.1.1;10.99.1.4,enabled,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r002,igmp,,,GigabitEthernet1/1/0,query,,,enabled,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r002,igmp,,,GigabitEthernet1/1/1,query,,,enabled,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r002,igmp,,,Port-channel12,query,,,enabled,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r001,pim,10.99.1.100,239.0.0.0/8,Loopback0,sparse-mode,232.0.0.0/8,10.99.1.1;10.99.1.4,enabled,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_int_intbr_r001,igmp,,,GigabitEthernet1/1/0,query,,,enabled,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_int_intbr_r001,igmp,,,GigabitEthernet1/1/1,query,,,enabled,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_int_intbr_r001,igmp,,,Port-channel12,query,,,enabled,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_ext_extbr_r002,pim,10.99.1.100,239.0.0.0/8,Loopback0,sparse-mode,232.0.0.0/8,10.99.1.1;10.99.1.4,enabled,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r002,igmp,,,GigabitEthernet1/1/0,query,,,enabled,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r002,igmp,,,GigabitEthernet1/1/1,query,,,enabled,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r002,igmp,,,Port-channel53,query,,,enabled,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r001,pim,10.99.1.100,239.0.0.0/8,Loopback0,sparse-mode,232.0.0.0/8,10.99.1.1;10.99.1.4,enabled,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_ext_extbr_r001,igmp,,,GigabitEthernet1/1/0,query,,,enabled,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_ext_extbr_r001,igmp,,,GigabitEthernet1/1/1,query,,,enabled,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_ext_extbr_r001,igmp,,,Port-channel53,query,,,enabled,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_cor_c_sw002,pim,10.99.1.100,239.0.0.0/8,Vlan1,sparse-mode,232.0.0.0/8,10.99.1.1;10.99.1.4,enabled,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,pim,10.99.1.100,239.0.0.0/8,Vlan10,sparse-mode,232.0.0.0/8,10.99.1.1;10.99.1.4,enabled,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,igmp,,,GigabitEthernet1/0/1,snooping,,,enabled,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,igmp,,,GigabitEthernet1/0/2,snooping,,,enabled,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_ext_sama_fw001,igmp,,,port1,proxy,224.0.0.0/4,,enabled,configs/NRR-EXT-SAMA-FW001_7-0_9221_202505151426.conf
nrr_ext_sama_fw001,igmp,,,port2,proxy,224.0.0.0/4,,enabled,configs/NRR-EXT-SAMA-FW001_7-0_9221_202505151426.conf
nrr_ext_tad_fw001,igmp,,,port1,proxy,224.0.0.0/4,,enabled,configs/NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
nrr_ext_tad_fw001,igmp,,,port2,proxy,224.0.0.0/4,,enabled,configs/NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
nrr_ext_ext_fw001,igmp,,,port1,proxy,224.0.0.0/4,,enabled,configs/NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
nrr_ext_ext_fw001,igmp,,,port2,proxy,224.0.0.0/4,,enabled,configs/NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
nrr_int_agg_fw001_asa,igmp,,,port1,proxy,224.0.0.0/4,,enabled,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430-ASA-VDOM.conf
nrr_int_agg_fw001_asa,igmp,,,port2,proxy,224.0.0.0/4,,enabled,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430-ASA-VDOM.conf
nrr_int_agg_fw001_pa,igmp,,,port1,proxy,224.0.0.0/4,,enabled,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_int_agg_fw001_pa,igmp,,,port2,proxy,224.0.0.0/4,,enabled,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_oob_agg_fw001,igmp,,,port1,proxy,224.0.0.0/4,,enabled,configs/NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
nrr_oob_agg_fw001,igmp,,,port2,proxy,224.0.0.0/4,,enabled,configs/NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
nrr_wan_agg_fw001,igmp,,,port1,proxy,224.0.0.0/4,,enabled,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
nrr_wan_agg_fw001,igmp,,,port2,proxy,224.0.0.0/4,,enabled,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
uat_pa_backup,igmp,,,ethernet1/1,proxy,224.0.0.0/4,,enabled,configs/UAT-PA-Backup
uat_pa_backup,igmp,,,ethernet1/2,proxy,224.0.0.0/4,,enabled,configs/UAT-PA-Backup
uat_pa_backup,igmp,,,ethernet1/3,proxy,224.0.0.0/4,,enabled,configs/UAT-PA-Backup
uat_pa_internet_backup,igmp,,,ethernet1/1,proxy,224.0.0.0/4,,enabled,configs/UAT-PA-Internet-Backup
uat_pa_internet_backup,igmp,,,ethernet1/2,proxy,224.0.0.0/4,,enabled,configs/UAT-PA-Internet-Backup
uat_pa_internet_backup,igmp,,,ethernet1/3,proxy,224.0.0.0/4,,enabled,configs/UAT-PA-Internet-Backup 
