device_id,process_id,router_id,area,interface,area_type,network_type,hello_interval,dead_interval,priority,cost,authentication,passive_interface,redistribute,source_file
nrr_wan_br_r002,1,10.99.1.15,0.0.0.0,Loopback0,backbone,point-to-point,10,40,1,1,none,yes,connected,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,1,10.99.1.15,0.0.0.0,TenGigabitEthernet0/0/0,backbone,broadcast,10,40,100,10,none,no,static,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,1,10.99.1.15,0.0.0.0,TenGigabitEthernet0/0/1,backbone,broadcast,10,40,100,10,none,no,bgp,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,1,10.99.1.15,0.0.0.0,FortyGigabitEthernet1/0/0,backbone,point-to-point,10,40,100,1,none,no,,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,1,10.99.1.15,0.0.0.0,FortyGigabitEthernet1/0/1,backbone,point-to-point,10,40,100,1,none,no,,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r001,1,10.99.1.14,0.0.0.0,Loopback0,backbone,point-to-point,10,40,1,1,none,yes,connected,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,1,10.99.1.14,0.0.0.0,TenGigabitEthernet0/0/0,backbone,broadcast,10,40,100,10,none,no,static,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,1,10.99.1.14,0.0.0.0,TenGigabitEthernet0/0/1,backbone,broadcast,10,40,100,10,none,no,bgp,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,1,10.99.1.14,0.0.0.0,FortyGigabitEthernet1/0/0,backbone,point-to-point,10,40,100,1,none,no,,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_int_intbr_r002,1,10.99.1.43,0.0.0.1,Loopback0,nssa,point-to-point,10,40,1,1,none,yes,connected,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
