device_id,vlan_id,protocol,priority,root_bridge,bridge_id,designated_root,timers_hello,timers_max_age,timers_forward_delay,port_type_default,bpdu_guard,bpdu_filter,pathcost_method,source_file
nrr_wan_br_r002,1,rstp,32768,no,32769.0014.1c57.3a00,32768.0014.1c57.3a00,2,20,15,edge,enabled,disabled,short,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,10,rstp,32768,no,32778.0014.1c57.3a00,32768.0014.1c57.3a00,2,20,15,edge,enabled,disabled,short,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,20,rstp,32768,no,32788.0014.1c57.3a00,32768.0014.1c57.3a00,2,20,15,edge,enabled,disabled,short,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r001,1,rstp,32768,no,32769.0014.1c57.3b00,32768.0014.1c57.3b00,2,20,15,edge,enabled,disabled,short,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,10,rstp,32768,no,32778.0014.1c57.3b00,32768.0014.1c57.3b00,2,20,15,edge,enabled,disabled,short,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,20,rstp,32768,no,32788.0014.1c57.3b00,32768.0014.1c57.3b00,2,20,15,edge,enabled,disabled,short,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_int_intbr_r002,1,rstp,32768,no,32769.0014.1c57.4300,32768.0014.1c57.4300,2,20,15,edge,enabled,disabled,short,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r002,100,rstp,24576,yes,24676.0014.1c57.4300,24576.0014.1c57.4300,2,20,15,edge,enabled,disabled,short,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r002,200,rstp,24576,yes,24776.0014.1c57.4300,24576.0014.1c57.4300,2,20,15,edge,enabled,disabled,short,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r001,1,rstp,32768,no,32769.0014.1c57.4400,32768.0014.1c57.4400,2,20,15,edge,enabled,disabled,short,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_int_intbr_r001,100,rstp,28672,no,28772.0014.1c57.4400,24576.0014.1c57.4300,2,20,15,edge,enabled,disabled,short,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_int_intbr_r001,200,rstp,28672,no,28872.0014.1c57.4400,24576.0014.1c57.4300,2,20,15,edge,enabled,disabled,short,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_ext_extbr_r002,1,rstp,32768,no,32769.0014.1c57.3200,32768.0014.1c57.3200,2,20,15,edge,enabled,disabled,short,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r002,300,rstp,24576,yes,24876.0014.1c57.3200,24576.0014.1c57.3200,2,20,15,edge,enabled,disabled,short,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r002,400,rstp,24576,yes,24976.0014.1c57.3200,24576.0014.1c57.3200,2,20,15,edge,enabled,disabled,short,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r001,1,rstp,32768,no,32769.0014.1c57.3100,32768.0014.1c57.3100,2,20,15,edge,enabled,disabled,short,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_ext_extbr_r001,300,rstp,28672,no,28972.0014.1c57.3100,24576.0014.1c57.3200,2,20,15,edge,enabled,disabled,short,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_ext_extbr_r001,400,rstp,28672,no,29072.0014.1c57.3100,24576.0014.1c57.3200,2,20,15,edge,enabled,disabled,short,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_cor_c_sw002,1,rstp,4096,yes,4097.0014.1c57.fe00,4096.0014.1c57.fe00,2,20,15,edge,enabled,disabled,short,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,10,rstp,4096,yes,4106.0014.1c57.fe00,4096.0014.1c57.fe00,2,20,15,edge,enabled,disabled,short,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,20,rstp,4096,yes,4116.0014.1c57.fe00,4096.0014.1c57.fe00,2,20,15,edge,enabled,disabled,short,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,100,rstp,4096,yes,4196.0014.1c57.fe00,4096.0014.1c57.fe00,2,20,15,edge,enabled,disabled,short,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,200,rstp,4096,yes,4296.0014.1c57.fe00,4096.0014.1c57.fe00,2,20,15,edge,enabled,disabled,short,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,300,rstp,4096,yes,4396.0014.1c57.fe00,4096.0014.1c57.fe00,2,20,15,edge,enabled,disabled,short,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,400,rstp,4096,yes,4496.0014.1c57.fe00,4096.0014.1c57.fe00,2,20,15,edge,enabled,disabled,short,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log 
