device_id,vlan_id,vlan_name,description,state,mode,svi_ip,vrf_name,vrf_rd,active,source_file
nrr_wan_br_r002,1,default,Default VLAN,active,access,10.99.18.10/24,global,,yes,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,10,management,Management VLAN,active,access,10.0.250.10/24,Mgmt-intf,,yes,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r002,20,voice,Voice VLAN,active,access,192.168.1.10/24,global,,yes,configs/NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
nrr_wan_br_r001,1,default,Default VLAN,active,access,10.99.18.9/24,global,,yes,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,10,management,Management VLAN,active,access,10.0.250.9/24,Mgmt-intf,,yes,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_wan_br_r001,20,voice,Voice VLAN,active,access,192.168.1.9/24,global,,yes,configs/NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
nrr_int_intbr_r002,1,default,Default VLAN,active,access,10.99.18.43/24,global,,yes,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r002,100,internal,Internal VLAN,active,trunk,10.99.100.43/24,global,,yes,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r002,200,data,Data VLAN,active,trunk,10.99.200.43/24,global,,yes,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r002,10,management,Management VLAN,active,access,10.0.250.43/24,Mgmt-intf,,yes,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r001,1,default,Default VLAN,active,access,10.99.18.44/24,global,,yes,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
