device_id,interface_name,description,ip_address,subnet_mask,vlan,speed_mbps,duplex,admin_status,operational_status,mac_address,if_type,ip6_address,lldp_remote_sysname,port_security,bpdu_guard,root_guard,storm_control_pps,mtu,source_file
nrr_cor_c_sw002,Vlanan1,,,,1,,,up,up,,vlan,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Vlanan3279,***L3 Connection to dr_vpn_replica Inside***,10.99.2.106,/29,3279,,,down,down,,vlan,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Vlanan3301,***L3 Connection to WAN-FW***,10.99.2.2,/29,3301,,,down,down,,vlan,,,,,,,9198,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Vlanan3302,***L3 Connection to INT-FW***,10.99.2.10,/29,3302,,,down,down,,vlan,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Vlanan3303,***L3 Connection to SAMA-EXT-FW***,10.99.2.18,/29,3303,,,down,down,,vlan,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Vlanan3304,***L3 Connection to EXT-EXT-FW***,10.99.2.26,/29,3304,,,down,down,,vlan,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Vlanan3305,***L3 Connection to TAD-EXT-FW***,10.99.2.34,/29,3305,,,down,down,,vlan,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Vlanan3306,***L3 Connection to OOB-AGG-FW***,10.99.2.42,/29,3306,,,down,down,,vlan,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Vlanan3307,***L3 Connection to NRR-REP-OTV-R001***,10.99.2.50,/29,3307,,,down,down,,vlan,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Vlanan3308,***L3 Connection to NRR-REP-OTV-R002***,10.99.2.58,/29,3308,,,down,down,,vlan,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Vlanan3309,***L3 Connection to ForcePoint Proxy Inside***,10.99.5.98,/29,3309,,,down,down,,vlan,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Vlanan3310,***L3 Connection to ForcePoint Proxy Outside***,10.99.5.106,/29,3310,,,down,down,,vlan,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Vlanan3315,***L3 Connection to NRR_USER_CAMPUS***,10.99.2.82,/29,3315,,,down,down,,vlan,,,,,,,9126,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,port-channel10,***Connection to NRR-COR-C-SW001 Port-channel10 VPC_PEER_LINK***,,,,,,up,up,,port-channel,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,port-channel11,***Connection to NRR-COR-C-SW001 Port-channel11 VPC-KA ***,10.99.2.202,/30,,,,up,up,,port-channel,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,port-channel20,***Connection to NRR-WAN-AGG-FW001 Bundle-ID 20***,,,,40000,,up,up,,port-channel,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,port-channel21,***Connection to NRR-WAN-AGG-FW002 Bundle-ID 21***,,,,40000,,up,up,,port-channel,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,port-channel22,***Connection to NRR-INT-AGG-SW Bundle-ID 22***,,,,,,up,up,,port-channel,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,port-channel23,***Connection to NRR-EXT-AGG-SW Bundle-ID 23***,,,,,,up,up,,port-channel,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,port-channel24,***Connection to NRR-OOB-AGG-FW001 Bundle-ID 24***,,,,,,up,up,,port-channel,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,port-channel25,***Connection to NRR-OOB-AGG-FW002 Bundle-ID 25***,,,,,,up,up,,port-channel,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,port-channel26,***Connection to NRR-REP-OTV-R001 Bundle-ID 26***,,,,,,up,up,,port-channel,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,port-channel27,***Connection to NRR-REP-OTV-R002 Bundle-ID 27***,,,,,,up,up,,port-channel,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,port-channel28,***Connection to NRR-USER-CAMPUS-SW01-Bundle-ID 28***,,,,10000,,up,up,,port-channel,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/1,***Connection to NRR-INT-AGG-SW001 Eth1/41***,,,,,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/2,***Connection to NRR-EXT-AGG-SW001 Eth1/41***,,,,,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/3,***Connection to NRR-OOB-AGG-FW001 port40***,,,,,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/4,***Connection to NRR-REP-OTV-R001 TenG0/1/1***,,,,,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/5,***Connection to NRR-USER-CAMPUS-SW01-Bundle-ID port 50***,,,,10000,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/6,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/7,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/8,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/9,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/10,***Connection to NRR-WAN-AGG-FW001 port 26***,,,,40000,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/11,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/12,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/13,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/14,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/15,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/16,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/17,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
